"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significant","direction"
"DNAJC11",0.0210425601360664,-0.691900154897903,0.451,0.341,1,FALSE,"Not significant"
"IDH3A",0.0210690975807419,0.941029171913325,0.242,0.148,1,FALSE,"Not significant"
"RGS5",0.0210876787422685,-1.94319684758709,0.11,0.192,1,FALSE,"Not significant"
"DVL1",0.0211043428530107,1.10892365705505,0.291,0.187,1,FALSE,"Not significant"
"AVEN",0.0211105185532976,-0.290487227509973,0.363,0.253,1,FALSE,"Not significant"
"CANT1",0.0211748231603213,-2.62874008825693,0.132,0.214,1,FALSE,"Not significant"
"DRG1",0.0211939592798013,1.39037358954747,0.401,0.302,1,FALSE,"Not significant"
"RASA1",0.021206263660065,-8.41399112189371,0.665,0.522,1,FALSE,"Not significant"
"CEP85L",0.0212161190986447,1.03583617177912,0.33,0.429,1,FALSE,"Not significant"
"AC124319.2",0.0212772753798387,7.17185384675334,0.44,0.33,1,FALSE,"Not significant"
"C1orf87",0.0213428633954016,-1.71301602092221,0.027,0.082,1,FALSE,"Not significant"
"VIPR1-AS1",0.0213428633954016,1.71301602092221,0.082,0.027,1,FALSE,"Not significant"
"RPL26L1",0.0213428633954016,-1.71301602092221,0.027,0.082,1,FALSE,"Not significant"
"AP000919.3",0.0213428633954016,-1.71301602092221,0.027,0.082,1,FALSE,"Not significant"
"NFS1",0.0213428633954016,1.71301602092221,0.082,0.027,1,FALSE,"Not significant"
"AC019068.1",0.0213637795052455,-0.566252283747097,0.071,0.148,1,FALSE,"Not significant"
"RCN3",0.0213637795052455,-0.566252283747098,0.071,0.148,1,FALSE,"Not significant"
"LINC01500",0.0213762152254618,-1.49555452583394,0.049,0.115,1,FALSE,"Not significant"
"AP000695.2",0.0213762508507641,1.8443319048636,0.115,0.049,1,FALSE,"Not significant"
"COX7A2",0.0213911963532704,-0.892647812298466,0.176,0.275,1,FALSE,"Not significant"
"UBAC2",0.0214285695513804,2.59188431573589,0.698,0.588,1,FALSE,"Not significant"
"BNIP3",0.0214358993798612,0.779566527514863,0.088,0.17,1,FALSE,"Not significant"
"PARD6G-AS1",0.0215235405042431,1.81818207453122,0.099,0.038,1,FALSE,"Not significant"
"PRTFDC1",0.0215363453517918,-0.834314490681109,0.093,0.176,1,FALSE,"Not significant"
"SAMD10",0.021539806001101,1.61846457623129,0.159,0.082,1,FALSE,"Not significant"
"SSNA1",0.0215449721703379,-1.32636820423304,0.082,0.159,1,FALSE,"Not significant"
"NELFCD",0.0216038379540613,1.34273163434519,0.445,0.346,1,FALSE,"Not significant"
"RICTOR",0.021640533177037,-15.4474505847252,0.731,0.61,1,FALSE,"Not significant"
"COQ8B",0.0216536690373125,-0.286726580826854,0.242,0.143,1,FALSE,"Not significant"
"MAGI2",0.0216540253958893,10.2812849290489,0.412,0.571,1,FALSE,"Not significant"
"GADD45G",0.0216591239003905,-0.753763758821923,0.027,0.082,1,FALSE,"Not significant"
"MYCN",0.0216796113588763,-2.18849064028048,0.038,0.099,1,FALSE,"Not significant"
"MIAT",0.0216796113588763,-2.18849064028048,0.038,0.099,1,FALSE,"Not significant"
"RAI2",0.0216914465110804,-1.48103025391965,0.027,0.082,1,FALSE,"Not significant"
"LINC01606",0.0216914465110804,-1.48103025391965,0.027,0.082,1,FALSE,"Not significant"
"KIF5A",0.0216914465110804,-1.48103025391965,0.027,0.082,1,FALSE,"Not significant"
"TMED1",0.0216914465110804,-1.48103025391965,0.027,0.082,1,FALSE,"Not significant"
"GBE1",0.021706915592265,21.3278284585731,0.577,0.478,1,FALSE,"Not significant"
