"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0120034","positive regulation of plasma membrane bounded cell projection assembly","11/620","108/18842",0.101851851851852,3.09531063321386,4.02804983607775,0.00086032219508136,0.0383234432354424,0.0383234432354424,"TENM2/PLCE1/EPS8/WASF2/CYFIP1/OCLN/EPS8L2/ZMYND8/NCKAP1/ARPC2/WASHC1",11
"GO:0032232","negative regulation of actin filament bundle assembly","6/620","35/18842",0.171428571428571,5.20976958525346,4.59814205651826,0.000890855225169136,0.0388968398678557,0.0388968398678557,"ARHGAP6/WASF2/TACSTD2/CLASP2/PHLDB2/TJP1",6
"GO:0002902","regulation of B cell apoptotic process","4/620","14/18842",0.285714285714286,8.68294930875576,5.30444180555244,0.000893039690843625,0.0388968398678557,0.0388968398678557,"CD74/FOXP1/BCL6/BCL10",4
"GO:0014745","negative regulation of muscle adaptation","4/620","14/18842",0.285714285714286,8.68294930875576,5.30444180555244,0.000893039690843625,0.0388968398678557,0.0388968398678557,"FOXO1/PPARG/LMNA/SMAD3",4
"GO:0050857","positive regulation of antigen receptor-mediated signaling pathway","5/620","24/18842",0.208333333333333,6.33131720430108,4.82062346277584,0.000959335476818471,0.0414771514977398,0.0414771514977398,"NECTIN2/FOXP1/KCNN4/CARD11/BCL10",5
"GO:0007623","circadian rhythm","16/620","200/18842",0.08,2.43122580645161,3.75341601578587,0.000980976583775444,0.0421032285591212,0.0421032285591212,"SREBF1/NRIP1/PPARG/UBE3A/NPAS2/EP300/OGT/MAPK10/USP9X/NCOR1/MYCBP2/ZFHX3/KDM5A/ID1/RAI1/HUWE1",16
"GO:0005996","monosaccharide metabolic process","17/620","220/18842",0.0772727272727273,2.3483431085044,3.71063637332321,0.00101604272013309,0.0432154767185623,0.0432154767185623,"FOXO1/HK1/PDK3/EP300/FOXK2/PPARD/OGT/GPI/MAN2C1/SLC2A1/TCF7L2/FUT8/HK2/LRP5/SLC23A2/OAS1/GALE",17
"GO:0022029","telencephalon cell migration","6/620","36/18842",0.166666666666667,5.06505376344086,4.50317813257943,0.00103967800487446,0.0432154767185623,0.0432154767185623,"FGF13/MBOAT7/SUN1/SLIT2/RELN/ZMIZ1",6
"GO:0030866","cortical actin cytoskeleton organization","6/620","36/18842",0.166666666666667,5.06505376344086,4.50317813257943,0.00103967800487446,0.0432154767185623,0.0432154767185623,"PLEC/LLGL2/NCKAP1/EZR/EPB41L1/ARPC2",6
"GO:0045773","positive regulation of axon extension","6/620","36/18842",0.166666666666667,5.06505376344086,4.50317813257943,0.00103967800487446,0.0432154767185623,0.0432154767185623,"SMURF1/GOLGA4/VEGFA/JUP/SEMA7A/SHTN1",6
"GO:0071526","semaphorin-plexin signaling pathway","7/620","49/18842",0.142857142857143,4.34147465437788,4.3200418378031,0.00104363906361154,0.0432154767185623,0.0432154767185623,"PLXNB1/SEMA4B/SEMA3F/SEMA6D/ERBB2/PLXNB2/SEMA7A",7
"GO:0032868","response to insulin","18/620","242/18842",0.0743801652892562,2.2604372167422,3.64017470340383,0.00113450148693073,0.0463950177097428,0.0463950177097428,"ATP2B1/SREBF1/SOS2/FOXO1/AKT3/PPARG/PDPK1/RAB10/SLC9A1/OGT/PTPRE/SLC2A1/HMGCS2/SRSF4/RAF1/PRKCZ/FOS/GCLC",18
"GO:0016052","carbohydrate catabolic process","14/620","165/18842",0.0848484848484849,2.57857282502444,3.75666815419614,0.00113620451534064,0.0463950177097428,0.0463950177097428,"HK1/WDR45B/EP300/PHKB/FOXK2/OGT/GPI/MANBA/MAN2C1/NCOR1/FUT8/HK2/LRP5/GALE",14
"GO:0032271","regulation of protein polymerization","15/620","184/18842",0.0815217391304348,2.47747194950912,3.71488530638391,0.00115484888269175,0.0468311133119136,0.0468311133119136,"CAPZB/ADD1/EPS8/HIP1R/SLIT2/CTTN/CYFIP1/OCLN/ARFGEF1/CLIP1/MAP2/CLASP2/SSH2/ADD2/NCKAP1",15
"GO:0051960","regulation of nervous system development","23/620","346/18842",0.0664739884393064,2.0201659518926,3.53280579609349,0.00117766386089826,0.0474292020690534,0.0474292020690534,"PLXNB1/CDH1/FGF13/SMURF1/GOLGA4/DICER1/PTPN13/VEGFA/NF1/SEMA6D/SLIT2/LDLR/RELN/PLXNB2/HES1/MAP2/JUP/SEMA7A/TNFRSF21/DIP2B/SPEN/PTPRD/SHTN1",23
"GO:0021885","forebrain cell migration","6/620","37/18842",0.162162162162162,4.928160418483,4.41167190673673,0.00120686182112798,0.0482744728451193,0.0482744728451193,"FGF13/MBOAT7/SUN1/SLIT2/RELN/ZMIZ1",6
"GO:0007416","synapse assembly","19/620","264/18842",0.071969696969697,2.18718230694037,3.58318885034022,0.00123568744835388,0.049093528353519,0.0490935283535191,"PLXNB1/CDH1/FGF13/PTPN13/SETD5/ADGRL3/DOCK10/OGT/NLGN4Y/NRCAM/ELMO1/RELN/NECTIN1/PLXNB2/MYCBP2/ADGRF1/ADD2/ARHGAP32/PTPRD",19
